kind,arm,label,covariate,n_a,n_b,mean_a,mean_b,sd_a,sd_b,smd,n_questions,n_users,discard_share
smd_pool_neverchosen,treated_answered,,numTags,12174880,115967,2.8325,3.0961,1.189,1.3423,-0.2079,,,
tenure,control_unanswered,< 1 Week,,699377,,,,,,,1396815,,0.5007
tenure,control_unanswered,1 - 3 Years,,524804,,,,,,,1074273,,0.4885
tenure,control_unanswered,3 - 6 Years,,420534,,,,,,,788978,,0.533
tenure,control_unanswered,1 - 6 Months,,256682,,,,,,,570911,,0.4496
tenure,control_unanswered,> 6 Years,,327579,,,,,,,532867,,0.6147
tenure,control_unanswered,6 - 12 Months,,205906,,,,,,,443027,,0.4648
tenure,control_unanswered,1 Week - 1 Month,,82892,,,,,,,192459,,0.4307
tenure,treated_answered,< 1 Week,,955395,,,,,,,4181212,,0.2285
tenure,treated_answered,1 - 3 Years,,874156,,,,,,,3643721,,0.2399
tenure,treated_answered,1 - 6 Months,,554132,,,,,,,2451719,,0.226
tenure,treated_answered,3 - 6 Years,,535652,,,,,,,2048596,,0.2615
tenure,treated_answered,6 - 12 Months,,415453,,,,,,,1784506,,0.2328
tenure,treated_answered,> 6 Years,,338841,,,,,,,1065618,,0.318
tenure,treated_answered,1 Week - 1 Month,,185590,,,,,,,858727,,0.2161
